Title,Price,Mileage,Link
Used 2016 Honda Odyssey EX-L,"16,825",NORM REEVES HONDA SUPERSTORE NORTH RICHLAND HILLS,https://www.autotrader.com/cars-for-sale/vehicle/699984295?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=alpha
Used 2018 Honda Odyssey Touring,"23,998","118,013 miles",https://www.autotrader.com/cars-for-sale/vehicle/697899378?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=spotlight
Used 2019 Honda Odyssey EX-L,"22,106","105,571 miles",https://www.autotrader.com/cars-for-sale/vehicle/690368876?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=spotlight
Used 2018 Honda Odyssey EX-L,"23,777","85,223 miles",https://www.autotrader.com/cars-for-sale/vehicle/700363766?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=spotlight
Used 2018 Honda Odyssey EX-L,"23,777","85,223 miles",https://www.autotrader.com/cars-for-sale/vehicle/700363766?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"23,015","112,432 miles",https://www.autotrader.com/cars-for-sale/vehicle/700460028?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"22,999","97,895 miles",https://www.autotrader.com/cars-for-sale/vehicle/700659776?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
No Title,No Price,No Mileage,No URL
Used 2019 Honda Odyssey EX-L,"22,991","98,487 miles",https://www.autotrader.com/cars-for-sale/vehicle/700527902?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"22,938","114,212 miles",https://www.autotrader.com/cars-for-sale/vehicle/700561748?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
